song,artist,genre,explicit,year,duration_ms,speechiness,liveness,danceability,valence,Mood,Rating_popularity
Location (feat. Burna Boy),Dave,hip hop,TRUE,2019,241293,0.3,0.1,0.81,0.55,Happy,Popular
Sweet but Psycho,Ava Max,pop,FALSE,2018,187436,0.05,0.17,0.72,0.63,Happy,Underrated
Don't Start Now,Dua Lipa,pop,FALSE,2019,183290,0.08,0.1,0.79,0.68,Happy,Popular
Giant (with Rag'n'Bone Man),Calvin Harris,hip hop,FALSE,2019,229184,0.04,0.08,0.81,0.61,Happy,Popular
Please Me,Cardi B,hip hop,TRUE,2019,200889,0.08,0.08,0.75,0.65,Happy,Popular
Dance Monkey,Tones And I,pop,FALSE,2019,209438,0.09,0.15,0.82,0.51,Happy,Popular
boyfriend (with Social House),Ariana Grande,pop,TRUE,2019,186106,0.46,0.16,0.4,0.7,Happy,Popular
Callaita,Bad Bunny,latin,TRUE,2019,250533,0.31,0.24,0.61,0.24,Depressed,Popular
So Am I,Ava Max,pop,FALSE,2019,183026,0.04,0.35,0.68,0.61,Happy,Underrated
Calma - Remix,Pedro Capó,pop,FALSE,2018,238200,0.05,0.14,0.83,0.76,Cheerful,Popular
MIDDLE CHILD,J. Cole,hip hop,TRUE,2019,213593,0.28,0.27,0.84,0.46,Sad,Popular
Thotiana,Blueface,hip hop,TRUE,2018,129264,0.27,0.11,0.91,0.39,Sad,Underrated
Suge,DaBaby,hip hop,TRUE,2019,163320,0.43,0.13,0.88,0.84,Cheerful,Popular
bury a friend,Billie Eilish,pop,FALSE,2019,193143,0.33,0.11,0.91,0.2,Depressed,Popular
Boy With Luv (feat. Halsey),BTS,pop,FALSE,2019,229773,0.1,0.19,0.65,0.8,Cheerful,Underrated
Easier,5 Seconds of Summer,pop,FALSE,2019,157492,0.22,0.1,0.51,0.62,Happy,Underrated
EARFQUAKE,"Tyler, The Creator",hip hop,TRUE,2019,190066,0.07,0.8,0.55,0.41,Sad,Popular
3 Nights,Dominic Fike,rock,FALSE,2018,177666,0.09,0.1,0.82,0.88,Cheerful,Popular
Secreto,Anuel AA,latin,FALSE,2019,258800,0.13,0.14,0.81,0.71,Happy,Popular
Nights Like This (feat. Ty Dolla $ign),Kehlani,hip hop,TRUE,2019,201787,0.15,0.15,0.61,0.29,Sad,Popular
Better Now,Post Malone,hip hop,TRUE,2018,231266,0.04,0.14,0.68,0.34,Sad,Popular
i'm so tired...,Lauv,pop,FALSE,2019,162582,0.2,0.24,0.6,0.53,Happy,Underrated
High Hopes,Panic! At The Disco,rock,FALSE,2018,190946,0.06,0.06,0.58,0.68,Happy,Popular
One Thing Right,Marshmello,pop,FALSE,2019,181823,0.05,0.58,0.66,0.44,Sad,Popular
How Do You Sleep?,Sam Smith,pop,FALSE,2019,202204,0.09,0.08,0.48,0.35,Sad,Popular
Goodbyes (Feat. Young Thug),Post Malone,hip hop,TRUE,2019,174960,0.07,0.11,0.58,0.18,Depressed,Underrated
Sucker,Jonas Brothers,pop,FALSE,2019,181026,0.06,0.11,0.84,0.95,Cheerful,Popular
Cruel Summer,Taylor Swift,pop,FALSE,2019,178426,0.16,0.11,0.55,0.56,Happy,Popular
Dancing With A Stranger (with Normani),Sam Smith,pop,FALSE,2019,171029,0.07,0.22,0.74,0.35,Sad,Popular
Circles,Post Malone,hip hop,FALSE,2019,215280,0.04,0.09,0.7,0.55,Happy,Popular
